engine,decision,seed,success,timed_out,failure,tile_kl,edge_kl,runtime_seconds,solve_seconds,conflicts,decisions,backtracks,restarts,error
ordinary WFC,frequency,0,True,False,False,0.16182617377143757,1.6524435362959047,0.6596974360000001,,,379,0,0,
WFC-as-SAT,frequency,0,True,False,False,0.1910631662255279,1.7674338124661424,3.445293234000001,0.3913099999999998,288,845,289,1,
ordinary WFC,context,0,True,False,False,0.39095312966906814,0.5345216271774289,0.6702145979999994,,,376,0,0,
WFC-as-SAT,context,0,True,False,False,0.39095312966906814,0.5345216271774289,3.298185158000001,0.24957399999999996,0,376,0,0,
ordinary WFC,frequency,1,True,False,False,0.1865386323725285,1.7347015851871173,0.6552682990000012,,,380,0,0,
WFC-as-SAT,frequency,1,True,False,False,0.15884708958247779,1.5819307671231588,4.009107664999998,0.9095240000000002,646,1802,652,6,
ordinary WFC,context,1,True,False,False,0.40794220017449184,0.530416901553534,0.5989197530000006,,,356,0,0,
WFC-as-SAT,context,1,True,False,False,0.43847921107436955,0.5428495932125853,3.2805668779999984,0.23527200000000015,4,359,4,0,
ordinary WFC,frequency,2,True,False,False,0.1684656912371501,1.6744240247714508,0.6316862969999981,,,369,0,0,
WFC-as-SAT,frequency,2,True,False,False,0.16640083549960633,1.6662743589585023,3.6774147709999987,0.6477600000000003,427,1287,431,4,
ordinary WFC,context,2,True,False,False,0.37127730269003356,0.4766153244122924,0.6252690429999994,,,349,0,0,
WFC-as-SAT,context,2,True,False,False,0.3695507842232985,0.48153704625860094,3.2683728420000016,0.2379070000000003,5,359,5,0,
ordinary WFC,frequency,3,True,False,False,0.18865366231527292,1.5755632527559305,0.6672900610000028,,,384,0,0,
WFC-as-SAT,frequency,3,True,False,False,0.1746360164580762,1.7531192544211305,3.4811204229999966,0.3033060000000001,288,679,288,0,
ordinary WFC,context,3,True,False,False,1.027859464451937,1.329898781058759,0.7772314079999987,,,367,0,0,
WFC-as-SAT,context,3,True,False,False,1.4397145148719785,1.703732774445403,3.4533365039999993,0.3837250000000001,90,586,91,1,
ordinary WFC,frequency,4,True,False,False,0.14040775703026695,1.61366412817466,0.6263585930000062,,,363,0,0,
WFC-as-SAT,frequency,4,True,False,False,0.22010259690141762,1.5839753337338405,3.540586865999998,0.48575000000000035,323,926,324,1,
ordinary WFC,context,4,True,False,False,2.014088598129188,2.24914469946999,0.5898078820000023,,,371,0,0,
WFC-as-SAT,context,4,True,False,False,2.449051914182751,2.5960357815976547,3.3156051019999992,0.25900999999999996,3,403,3,0,
ordinary WFC,frequency,5,True,False,False,0.15421290629570308,1.5882438123931815,0.6386466040000016,,,377,0,0,
WFC-as-SAT,frequency,5,True,False,False,0.2091156680605889,1.6475401909488228,3.719586760999995,0.677314,486,1365,489,3,
ordinary WFC,context,5,True,False,False,0.46775642967308484,0.7068316546609339,0.6203563689999996,,,341,0,0,
WFC-as-SAT,context,5,True,False,False,0.3146058544589121,0.52209945099383,3.3249733170000013,0.25916700000000015,47,401,47,0,
ordinary WFC,frequency,6,True,False,False,0.169871776514616,1.794071982344406,0.6462097030000038,,,367,0,0,
WFC-as-SAT,frequency,6,True,False,False,0.19459500632080948,1.6670789362702598,3.5820702299999994,0.5394159999999997,383,1036,386,3,
ordinary WFC,context,6,True,False,False,0.6448870013404483,0.9291174756372843,0.6310395299999954,,,354,0,0,
