example,N,engine,heuristic,seed,success,pattern_frequency_kl,pattern_edge_frequency_kl,decoded_tile_frequency_kl,decoded_tile_edge_frequency_kl,runtime_seconds,conflicts,backtracks
Stick,1,ordinary WFC,frequency,12,True,0.00011402782215475318,0.06159197248995389,0.00011402782215475318,0.06159197248995389,0.09491095999999999,,0
Stick,1,WFC-as-SAT,frequency,12,True,0.00011402782215475318,0.06159197248995389,0.00011402782215475318,0.06159197248995389,0.09375629300000021,0,0
Stick,1,ordinary WFC,context,12,True,0.0062598514474681705,0.004118196508470032,0.0062598514474681705,0.004118196508470032,0.0947045760000007,,0
Stick,1,WFC-as-SAT,context,12,True,0.0062598514474681705,0.004118196508470032,0.0062598514474681705,0.004118196508470032,0.09535465400000032,0,0
Stick,1,ordinary WFC,uniform,13,True,0.17314368881994222,0.497129697793248,0.17314368881994222,0.497129697793248,0.0729058819999997,,0
Stick,1,WFC-as-SAT,uniform,13,True,0.17314368881994222,0.497129697793248,0.17314368881994222,0.497129697793248,0.0760624209999996,0,0
Stick,1,ordinary WFC,frequency,13,True,0.003553287974391091,0.08846733143906528,0.003553287974391091,0.08846733143906528,0.09849215899999919,,0
Stick,1,WFC-as-SAT,frequency,13,True,0.003553287974391091,0.08846733143906528,0.003553287974391091,0.08846733143906528,0.09387519299999969,0,0
Stick,1,ordinary WFC,context,13,True,2.2862949333223373e-05,0.005164381244802618,2.2862949333223373e-05,0.005164381244802618,0.09909328200000012,,0
Stick,1,WFC-as-SAT,context,13,True,2.2862949333223373e-05,0.005164381244802618,2.2862949333223373e-05,0.005164381244802618,0.10138152599999994,0,0
Stick,1,ordinary WFC,uniform,14,True,0.18384394528870296,0.5488743036458127,0.18384394528870296,0.5488743036458127,0.07241553800000045,,0
Stick,1,WFC-as-SAT,uniform,14,True,0.18384394528870296,0.5488743036458127,0.18384394528870296,0.5488743036458127,0.07607653200000009,0,0
Stick,1,ordinary WFC,frequency,14,True,0.00033801663695705135,0.08964307989702588,0.00033801663695705135,0.08964307989702588,0.09211115699999972,,0
Stick,1,WFC-as-SAT,frequency,14,True,0.00033801663695705135,0.08964307989702588,0.00033801663695705135,0.08964307989702588,0.09208213600000015,0,0
Stick,1,ordinary WFC,context,14,True,0.0008840937746982889,0.000685789136338114,0.0008840937746982889,0.000685789136338114,0.09809861200000025,,0
Stick,1,WFC-as-SAT,context,14,True,0.0008840937746982889,0.000685789136338114,0.0008840937746982889,0.000685789136338114,0.09806962999999946,0,0
Stick,1,ordinary WFC,uniform,15,True,0.21362363233917298,0.6186648565299997,0.21362363233917298,0.6186648565299997,0.07004279799999935,,0
Stick,1,WFC-as-SAT,uniform,15,True,0.21362363233917298,0.6186648565299997,0.21362363233917298,0.6186648565299997,0.07563877499999982,0,0
Stick,1,ordinary WFC,frequency,15,True,0.00016012481931655057,0.08886328190204326,0.00016012481931655057,0.08886328190204326,0.09318574700000148,,0
Stick,1,WFC-as-SAT,frequency,15,True,0.00016012481931655057,0.08886328190204326,0.00016012481931655057,0.08886328190204326,0.09117214499999982,0,0
Stick,1,ordinary WFC,context,15,True,0.031068593615591333,0.02577758845018915,0.031068593615591333,0.02577758845018915,0.09310234600000022,,0
Stick,1,WFC-as-SAT,context,15,True,0.031068593615591333,0.02577758845018915,0.031068593615591333,0.02577758845018915,0.09267505300000067,0,0
Stick,1,ordinary WFC,uniform,16,True,0.1766817574948706,0.47281879024039675,0.1766817574948706,0.47281879024039675,0.07271118899999962,,0
Stick,1,WFC-as-SAT,uniform,16,True,0.1766817574948706,0.47281879024039675,0.1766817574948706,0.47281879024039675,0.07659975199999991,0,0
Stick,1,ordinary WFC,frequency,16,True,4.738058860077974e-05,0.11097846081710405,4.738058860077974e-05,0.11097846081710405,0.0910620049999995,,0
Stick,1,WFC-as-SAT,frequency,16,True,4.738058860077974e-05,0.11097846081710405,4.738058860077974e-05,0.11097846081710405,0.09301011699999862,0,0
Stick,1,ordinary WFC,context,16,True,0.0021611005760421194,0.0006732528613120775,0.0021611005760421194,0.0006732528613120775,0.09394705800000125,,0
Stick,1,WFC-as-SAT,context,16,True,0.0021611005760421194,0.0006732528613120775,0.0021611005760421194,0.0006732528613120775,0.09743330400000083,0,0
Stick,1,ordinary WFC,uniform,17,True,0.21747159784110207,0.6469818028633193,0.21747159784110207,0.6469818028633193,0.0710562440000011,,0
Stick,1,WFC-as-SAT,uniform,17,True,0.21747159784110207,0.6469818028633193,0.21747159784110207,0.6469818028633193,0.07610606099999906,0,0
Stick,1,ordinary WFC,frequency,17,True,4.738058860077974e-05,0.12102250467836458,4.738058860077974e-05,0.12102250467836458,0.09303891100000072,,0
Stick,1,WFC-as-SAT,frequency,17,True,4.738058860077974e-05,0.12102250467836458,4.738058860077974e-05,0.12102250467836458,0.09326526599999951,0,0
Stick,1,ordinary WFC,context,17,True,0.0027044681214487935,0.0030651219876775206,0.0027044681214487935,0.0030651219876775206,0.09929842000000022,,0
Stick,1,WFC-as-SAT,context,17,True,0.0027044681214487935,0.0030651219876775206,0.0027044681214487935,0.0030651219876775206,0.09616118899999826,0,0
Stick,1,ordinary WFC,uniform,18,True,0.20980332494572151,0.5808630165907201,0.20980332494572151,0.5808630165907201,0.07358554600000033,,0
Stick,1,WFC-as-SAT,uniform,18,True,0.20980332494572151,0.5808630165907201,0.20980332494572151,0.5808630165907201,0.0768529719999993,0,0
Stick,1,ordinary WFC,frequency,18,True,1.1490419316935625e-06,0.08493707009122953,1.1490419316935625e-06,0.08493707009122953,0.09184075599999986,,0
Stick,1,WFC-as-SAT,frequency,18,True,1.1490419316935625e-06,0.08493707009122953,1.1490419316935625e-06,0.08493707009122953,0.09502574500000094,0,0
Stick,1,ordinary WFC,context,18,True,0.012259109902079561,0.009791114452302907,0.012259109902079561,0.009791114452302907,0.09582620599999991,,0
Stick,1,WFC-as-SAT,context,18,True,0.012259109902079561,0.009791114452302907,0.012259109902079561,0.009791114452302907,0.0969706979999998,0,0
Stick,1,ordinary WFC,uniform,19,True,0.16963446291743783,0.5130299407773545,0.16963446291743783,0.5130299407773545,0.0762214090000004,,0
Stick,1,WFC-as-SAT,uniform,19,True,0.16963446291743783,0.5130299407773545,0.16963446291743783,0.5130299407773545,0.08195419500000156,0,0
Stick,1,ordinary WFC,frequency,19,True,0.0002762275017081598,0.10047347356331844,0.0002762275017081598,0.10047347356331844,0.10246679699999994,,0
Stick,1,WFC-as-SAT,frequency,19,True,0.0002762275017081598,0.10047347356331844,0.0002762275017081598,0.10047347356331844,0.09492974499999995,0,0
Stick,1,ordinary WFC,context,19,True,0.0016701580651610273,0.010134248469012107,0.0016701580651610273,0.010134248469012107,0.101492468,,0
Stick,1,WFC-as-SAT,context,19,True,0.0016701580651610273,0.010134248469012107,0.0016701580651610273,0.010134248469012107,0.10253199500000143,0,0
Stick,1,ordinary WFC,uniform,20,True,0.1766817574948706,0.5034255662150797,0.1766817574948706,0.5034255662150797,0.07497789199999971,,0
Stick,1,WFC-as-SAT,uniform,20,True,0.1766817574948706,0.5034255662150797,0.1766817574948706,0.5034255662150797,0.07803748000000077,0,0
Stick,1,ordinary WFC,frequency,20,True,0.0008204960284418396,0.09010950122327803,0.0008204960284418396,0.09010950122327803,0.09546719999999986,,0
Stick,1,WFC-as-SAT,frequency,20,True,0.0008204960284418396,0.09010950122327803,0.0008204960284418396,0.09010950122327803,0.10686453599999979,0,0
Stick,1,ordinary WFC,context,20,True,0.0027044681214487935,0.002090791547326036,0.0027044681214487935,0.002090791547326036,0.10131286900000092,,0
Stick,1,WFC-as-SAT,context,20,True,0.0027044681214487935,0.002090791547326036,0.0027044681214487935,0.002090791547326036,0.1002726660000004,0,0
Stick,1,ordinary WFC,uniform,21,True,0.2022460705241299,0.5676611167850738,0.2022460705241299,0.5676611167850738,0.07285349200000013,,0
Stick,1,WFC-as-SAT,uniform,21,True,0.2022460705241299,0.5676611167850738,0.2022460705241299,0.5676611167850738,0.07581243100000101,0,0
Stick,1,ordinary WFC,frequency,21,True,0.0005111303366110726,0.09493827439392527,0.0005111303366110726,0.09493827439392527,0.09380366999999978,,0
Stick,1,WFC-as-SAT,frequency,21,True,0.0005111303366110726,0.09493827439392527,0.0005111303366110726,0.09493827439392527,0.09368128499999884,0,0
Stick,1,ordinary WFC,context,21,True,0.0012498478033385347,0.0021428823100228932,0.0012498478033385347,0.0021428823100228932,0.09850850599999994,,0
Stick,1,WFC-as-SAT,context,21,True,0.0012498478033385347,0.0021428823100228932,0.0012498478033385347,0.0021428823100228932,0.09955768200000037,0,0
Stick,1,ordinary WFC,uniform,22,True,0.20601077161582454,0.5647854220638213,0.20601077161582454,0.5647854220638213,0.07234374400000121,,0
Stick,1,WFC-as-SAT,uniform,22,True,0.20601077161582454,0.5647854220638213,0.20601077161582454,0.5647854220638213,0.07486755899999942,0,0
Stick,1,ordinary WFC,frequency,22,True,4.738058860077974e-05,0.07785564767643416,4.738058860077974e-05,0.07785564767643416,0.09380206099999988,,0
Stick,1,WFC-as-SAT,frequency,22,True,4.738058860077974e-05,0.07785564767643416,4.738058860077974e-05,0.07785564767643416,0.09279100600000056,0,0
Stick,1,ordinary WFC,context,22,True,0.010058580863588906,0.004229214991557194,0.010058580863588906,0.004229214991557194,0.09825381799999988,,0
Stick,1,WFC-as-SAT,context,22,True,0.010058580863588906,0.004229214991557194,0.010058580863588906,0.004229214991557194,0.09559917099999993,0,0
Stick,1,ordinary WFC,uniform,23,True,0.19850932210496255,0.6072478716792403,0.19850932210496255,0.6072478716792403,0.0739047579999994,,0
Stick,1,WFC-as-SAT,uniform,23,True,0.19850932210496255,0.6072478716792403,0.19850932210496255,0.6072478716792403,0.07777834699999886,0,0
Stick,1,ordinary WFC,frequency,23,True,0.0002762275017081598,0.08786764378902923,0.0002762275017081598,0.08786764378902923,0.09479026099999999,,0
Stick,1,WFC-as-SAT,frequency,23,True,0.0002762275017081598,0.08786764378902923,0.0002762275017081598,0.08786764378902923,0.0946594619999992,0,0
Stick,1,ordinary WFC,context,23,True,0.03644261817921375,0.03733908560294345,0.03644261817921375,0.03733908560294345,0.0909801459999997,,0
Stick,1,WFC-as-SAT,context,23,True,0.03644261817921375,0.03733908560294345,0.03644261817921375,0.03733908560294345,0.0947739099999989,0,0
Stick,1,ordinary WFC,uniform,24,True,0.21747159784110207,0.6063898859970793,0.21747159784110207,0.6063898859970793,0.07257717500000105,,0
Stick,1,WFC-as-SAT,uniform,24,True,0.21747159784110207,0.6063898859970793,0.21747159784110207,0.6063898859970793,0.07532036099999928,0,0
Stick,1,ordinary WFC,frequency,24,True,0.00016012481931655057,0.08431883206557031,0.00016012481931655057,0.08431883206557031,0.09347228100000038,,0
Stick,1,WFC-as-SAT,frequency,24,True,0.00016012481931655057,0.08431883206557031,0.00016012481931655057,0.08431883206557031,0.09290359399999915,0,0
Stick,1,ordinary WFC,context,24,True,0.004673645330591336,0.0018240374466286504,0.004673645330591336,0.0018240374466286504,0.09576035699999963,,0
Stick,1,WFC-as-SAT,context,24,True,0.004673645330591336,0.0018240374466286504,0.004673645330591336,0.0018240374466286504,0.09764754499999917,0,0
Stick,1,ordinary WFC,uniform,25,True,0.16615420260092056,0.4830831408061295,0.16615420260092056,0.4830831408061295,0.0754703800000005,,0
Stick,1,WFC-as-SAT,uniform,25,True,0.16615420260092056,0.4830831408061295,0.16615420260092056,0.4830831408061295,0.07718163700000069,0,0
Stick,1,ordinary WFC,frequency,25,True,1.1490419316935625e-06,0.08941017893670486,1.1490419316935625e-06,0.08941017893670486,0.09094326600000002,,0
Stick,1,WFC-as-SAT,frequency,25,True,1.1490419316935625e-06,0.08941017893670486,1.1490419316935625e-06,0.08941017893670486,0.09473294300000035,0,0
Stick,1,ordinary WFC,context,25,True,0.0071324201362094955,0.007693452282480722,0.0071324201362094955,0.007693452282480722,0.09312703899999875,,0
Stick,1,WFC-as-SAT,context,25,True,0.0071324201362094955,0.007693452282480722,0.0071324201362094955,0.007693452282480722,0.0979939010000006,0,0
Stick,1,ordinary WFC,uniform,26,True,0.2022460705241299,0.5532614670592738,0.2022460705241299,0.5532614670592738,0.07292751699999833,,0
Stick,1,WFC-as-SAT,uniform,26,True,0.2022460705241299,0.5532614670592738,0.2022460705241299,0.5532614670592738,0.0801902760000015,0,0
