heuristic,engine,runs,successes,timeouts,failures,pooled_tile_kl,pooled_edge_kl,mean_tile_kl,median_tile_kl,mean_edge_kl,median_edge_kl,mean_runtime_seconds,median_runtime_seconds,mean_solve_seconds,median_solve_seconds,min_runtime_seconds,q05_runtime_seconds,q95_runtime_seconds,max_runtime_seconds,min_solve_seconds,q05_solve_seconds,q95_solve_seconds,max_solve_seconds,mean_conflicts,mean_decisions,mean_backtracks,matched_successful_pairs,exact_output_matches
frequency,ordinary WFC,100,100,0,0,0.14111030154256854,1.5374915608948967,0.17907686346414578,0.17739755964764758,1.6483157065759793,1.6471558729350901,0.662698634690002,0.6596996349999875,,,0.6238356909999538,0.6375835590000065,0.6908950740000819,0.7812199759999885,,,,,,380.98,0,100,0
frequency,WFC-as-SAT,100,100,0,0,0.14748897541505207,1.5426292383034963,0.1838936468931334,0.18464718506454664,1.6495354410773415,1.6525295820504233,3.913333504069998,3.4804413759999893,0.81858253,0.3686345,3.2377739469999938,3.2904402130000108,6.129919930000028,18.867817231000004,0.2457290000000001,0.25770399999999993,3.226422,15.819856,553.39,1650.56,571.18,100,0
context,ordinary WFC,100,100,0,0,0.0411693331628234,0.06535074795832634,0.5528140891790838,0.44344486114121706,0.7458844947332548,0.615127421456811,0.6248644286699981,0.6204076345000082,,,0.5391816409999706,0.5678995799999882,0.6874627320000855,0.8962070210000093,,,,,,351.69,0,100,1
context,WFC-as-SAT,100,100,0,0,0.050124910620972206,0.07199202637938303,0.6146038653757833,0.4608894521527911,0.7968941712966849,0.650133222634952,3.379309018559994,3.335514382499994,0.27784659,0.2497419999999999,3.258399288999982,3.2635798160000036,3.6810313190001125,4.614658285000019,0.2266119999999998,0.23360199999999987,0.47048200000000007,0.702213,37.3,422.89,37.43,100,1
